# Polynomial: y = 1.6692x^0 + 0.5837x^1 + 8.5599x^2 + 4.8635x^3 + 3.6902x^4 + 8.1909x^5 + 10.0000x^6 + 3.1313x^7 + 8.0671x^8 + 8.3646x^9 + 8.6258x^10
x_base,nonce,f(x_base+nonce)
2.43769363,2.1919,49150108.32007
2.47077230,0.9021,2285887.27283
2.46532641,1.5146,11303326.10467
2.46431933,0.1103,174034.97925
2.46484696,2.8974,206389351.64770
2.47951627,0.7884,1686985.77141
2.50609226,2.9064,226116572.97386
2.43771828,2.2372,54046325.25442
2.47067914,2.1243,45683985.82504
2.45157915,1.7226,17947471.08554
2.47614945,0.6831,1219617.63381
2.45055408,0.0185,117329.32183
2.45981704,0.4697,592612.53793
2.46452011,1.7562,19988306.89795
2.45304978,0.5474,744618.22031
2.48772362,1.3446,7838581.99803
2.44727602,2.8154,171807433.76227
2.43677148,1.7726,19472280.82887
2.51436891,0.0063,142539.55647
2.45889923,0.8243,1764293.79249
2.45542245,0.9773,2707483.02664
2.47373794,2.8959,209190352.75807
2.48572229,0.1240,197773.93559
2.48724663,2.2705,64141945.69231
2.45334995,1.7261,18168767.21791
2.45564233,2.3199,66520872.91986
2.42424580,0.9585,2351075.62533
2.46622048,0.2948,337272.95557
2.44158367,2.8859,193662505.00951
2.45415632,0.0913,156306.25324
2.43668520,0.7010,1142153.23583
2.46949579,0.8732,2096626.02662
2.50187392,1.7552,21725336.93733
2.51126719,2.8705,213861292.50251
2.48839601,1.7609,21342665.61290
2.45887729,0.2748,306876.28835
2.46818237,1.0464,3397552.80706
2.46360389,2.2211,55159385.18893
2.51452496,2.7537,173587692.91651
2.44807801,2.4957,93263749.12659
2.42519205,1.8540,22847560.04441
2.44389792,1.7523,18888347.20691
2.49195617,0.3425,432832.84950
2.46456903,0.0235,126104.43390
2.47964807,0.4763,645624.00775
2.50070948,1.4755,11201417.82909
2.45600928,2.8561,188262856.27215
2.44598089,1.4716,9699761.02777
2.47106443,1.8900,27470592.54517
2.44275951,1.5419,11434303.87110
2.46601176,2.4938,96259896.55998
2.46961233,2.7467,157563017.91663
2.46099385,1.5368,11804960.22708
2.44962986,2.2879,61532543.87110
2.49005462,2.2213,58296213.42320
2.47410851,2.9306,222953508.56529
2.46708310,2.6776,137638343.21352
2.43574781,1.0764,3374934.80771
2.45620088,1.9028,27344427.25452
2.48655761,0.2001,260338.96003
2.43167853,1.5849,12353893.31408
2.47534814,1.3820,8348291.01406
2.45699614,2.7119,144103824.12392
2.51520934,0.9794,3215965.02840
2.46775325,0.7105,1291778.52872
2.48151647,1.1683,4890698.11307
2.46813911,0.8563,1989102.98128
2.49147993,1.2011,5473145.74863
2.44299362,0.6783,1086270.56009
2.44156332,0.4554,532735.31195
2.47592504,2.4044,82212773.72273
2.51460177,0.5649,954778.18497
2.48697730,1.0623,3735077.89887
2.49702541,1.9204,31125844.20719
2.44044272,0.0498,127144.45383
2.44570674,2.5417,101619993.83638
2.43929265,2.1899,49108636.76500
2.49614994,2.5632,116881139.40759
2.48687751,2.2647,63335320.74739
2.47330090,1.2085,5320725.06855
2.43829237,1.8554,23611336.25171
2.44301280,2.6985,136811429.14955
2.43137205,1.2369,5134839.03477
2.50611508,1.4926,11831359.47482
2.47386408,0.2919,342814.71666
2.44497927,2.4072,77700131.95866
2.50788087,0.2526,336647.70343
2.45928548,0.3603,411711.03986
2.46152196,0.6811,1159484.62068
2.49028123,1.5131,11965893.92378
2.50049693,0.9010,2479509.89809
2.51375695,1.6557,17751273.51266
2.46125126,0.2745,309091.97532
2.48680592,0.8576,2106961.49501
2.49158673,1.6734,17567327.64931
2.47379307,0.6384,1056321.01019
2.48436871,1.5643,13345063.25922
2.47864076,0.9632,2777528.64512
2.48484268,2.5477,110968830.23434
2.48485483,2.6189,127301124.59591
2.48881994,1.9395,31880936.89425
2.49965910,1.9734,35157854.11640
2.47071121,0.3838,462867.30532
2.47516945,2.0050,35705704.41852
2.44796946,2.3163,65004870.93684
2.45398985,2.9030,204417637.13222
2.47167827,1.0205,3194470.77610
2.44772294,0.7440,1345233.61496
2.48513875,0.5181,751255.73439
2.43645805,1.5295,10924626.72926
2.47644810,2.6872,142679703.76484
2.43550426,2.4336,80386193.50185
2.48739461,1.7526,20893017.82586
2.50275371,1.0913,4215254.44721
2.45053452,1.9175,27900629.59130
2.43837749,2.6864,132520007.39013
2.45740399,0.4521,555122.54006
2.46816278,1.4145,8894108.96808
2.44818249,0.4684,568130.45651
2.49666734,1.2396,6132031.67658
2.48369586,1.4512,10123151.96515
2.50143992,1.8967,29828576.33295
2.46396926,1.2227,5389085.77319
2.42524091,2.5815,105534058.10670
2.47062979,2.9036,210947743.93198
2.48879404,1.8554,26454338.57710
2.51634667,0.4738,720553.98504
2.48510988,2.7905,175982748.04115
2.45493376,0.9254,2334997.63769
2.44185919,0.5319,683721.79085
2.45787027,2.3972,78153140.41533
2.43666476,0.7910,1497774.46329
2.48095079,2.1651,50879656.62653
2.48114268,1.4202,9317268.01178
2.47714443,1.9231,29967732.20828
2.44660766,0.6361,964331.10225
2.46521506,2.9535,228674319.23594
2.47015358,1.7034,17921368.19750
2.44241519,2.7367,146913673.67238
2.43216886,0.1126,155908.79185
2.47975501,1.5993,14349055.97045
2.45497496,1.2604,5808511.74429
2.49999545,1.3999,9283847.01554
2.47479628,0.1784,231211.89233
2.48671900,2.9376,230999958.88444
2.43365819,1.5038,10187201.49914
2.50362418,1.8501,27024180.50729
2.48627465,0.8987,2366021.17737
2.49736499,1.2360,6086138.51555
2.44135373,2.2713,58453146.85718
2.45199764,0.6601,1056010.94033
2.44382712,2.0650,37992581.33841
2.48687957,2.0756,42631689.22270
2.43064118,0.0049,103197.60247
2.46147111,1.8175,22836096.64769
2.46917690,0.1418,198674.09658
2.46278245,0.3329,379703.69902
2.45351391,1.2588,5762426.02860
2.41966702,0.1740,186575.45237
2.48532290,2.8723,204654165.11865
2.43631062,2.6839,131370178.02444
2.48725586,1.0400,3517516.62481
2.46158087,1.8027,22085422.24611
2.50688161,0.6582,1241366.70515
2.45386188,2.1313,44741857.31882
2.50428390,2.9695,252470440.14690
2.47212570,1.1151,4138611.96617
2.48453792,2.0599,41017724.12440
2.46366505,2.0262,36465138.06160
2.48289383,2.2784,64609927.26617
2.43928792,2.3784,72474920.72892
2.46409652,1.3942,8368182.18898
2.46190333,0.3227,365645.02138
2.46467850,0.9969,2934777.45267
2.44130556,1.9169,27295940.96580
2.48091090,0.8303,1914329.54952
2.47345353,0.1394,200027.45860
2.50397236,2.8021,186179965.88861
2.42009888,1.5749,11725190.55057
2.46190308,2.0280,36468145.28704
2.47477449,1.0185,3204146.89724
2.46929008,1.6981,17666008.95462
2.48136921,2.9934,252915786.76707
2.45608451,0.5468,750409.72359
2.44596355,0.7857,1515675.27355
2.45873468,2.2912,63122063.46351
