# Polynomial: y = 6.7149x^0 + 9.1492x^1 + 0.0451x^2 + 0.4825x^3 + 5.5686x^4 + 10.0000x^5 + 5.6721x^6 + 9.4244x^7 + 8.5340x^8 + 3.4958x^9 + 7.7370x^10
x_base,nonce,f(x_base+nonce)
2.48247013,0.4259,453298.38708
2.45503049,0.1055,135814.37651
2.51413908,0.0866,157246.45140
2.48481212,0.8852,1859711.99489
2.48599844,0.7166,1139244.93978
2.48621712,0.4855,556657.47239
2.48743446,0.0321,116722.56283
2.41920997,0.4965,464312.08423
2.43903087,0.0542,105790.84798
2.49554011,0.7701,1373874.73672
2.43750214,0.9098,1742445.72040
2.44042540,0.5986,689428.76350
2.44095807,0.3821,341524.70352
2.51558932,0.8617,1898769.37112
2.42359335,0.3160,256942.83163
2.44970962,0.6701,886202.04569
2.48487367,0.4070,429402.42091
2.50740312,0.1822,215869.58427
2.47592939,0.2807,272479.36040
2.41976332,0.8613,1437549.61456
2.51193585,0.7425,1329227.97539
2.50358303,0.7880,1482497.04948
2.46004899,0.2086,200498.15895
2.46703634,0.0209,103706.13208
2.50836350,0.8003,1558186.64127
2.46053180,0.7493,1164189.82351
2.48792993,0.5903,779356.75746
2.46122899,0.7054,1022225.21155
2.51699417,0.5903,852727.72292
2.46790698,0.9206,1960428.20567
2.45629546,0.0506,111348.09694
2.45325438,0.1162,140328.02709
2.47697729,0.0967,142510.98244
2.45014780,0.7917,1280634.01621
2.47965467,0.7148,1111739.19711
2.44564260,0.9769,2158735.83469
2.41892950,0.3205,256797.38100
2.46339278,0.2374,224508.06578
2.49224319,0.1364,173874.01545
2.46230215,0.0873,130466.35466
2.49657821,0.9686,2432633.17545
2.43750474,0.4032,362351.17698
2.45218365,0.7428,1113507.44254
2.49588764,0.3044,316253.52835
2.43811662,0.1735,163548.62909
2.46938530,0.7206,1096900.21440
2.46472443,0.4041,397921.78408
2.48378928,0.3435,346417.08935
2.47480026,0.0881,136999.97402
2.47830917,0.6774,988914.84966
2.46938125,0.1810,187913.95628
2.50316410,0.0856,150563.61577
2.48166559,0.3770,384722.21721
2.47753697,0.2671,261456.73687
2.48358173,0.7795,1363562.41343
2.46859220,0.6588,907055.99849
2.49083962,0.2038,219719.82053
2.51625765,0.8354,1764404.28075
2.45629470,0.6957,977809.67374
2.48804515,0.1083,154763.74845
2.50047738,0.7275,1228953.12036
2.44450694,0.5777,653813.12077
2.48490400,0.1606,184677.45082
2.46642737,0.7878,1328409.79437
2.45663070,0.8077,1368587.99485
2.43128302,0.5298,537941.44001
2.42784217,0.3381,281327.38540
2.48200838,0.4906,558252.52616
2.43710078,0.6362,767495.67341
2.48099972,0.3401,339281.57989
2.47965122,0.8238,1534727.29545
2.44232911,0.6821,898854.55210
2.44132355,0.6438,796222.95806
2.43379787,0.6913,900699.71301
2.43037997,0.4635,432246.45959
2.45058805,0.6908,946716.51962
2.48228286,0.6507,922714.65672
2.46472901,0.3781,364934.20568
2.44507656,0.4740,469444.28748
2.49187497,0.9754,2446878.63873
2.44253809,0.4015,366411.82941
2.48806333,0.3307,336622.89193
2.47850268,0.8148,1489964.11467
2.46323655,0.8543,1598868.45350
2.46378027,0.6549,883133.41651
2.47073928,0.4984,552067.18555
2.45530399,0.1451,157055.85184
2.44447576,0.5379,576005.72026
2.50833179,0.8185,1642512.72862
2.48952000,0.2422,250037.30722
2.46700964,0.8889,1786081.73498
2.42973739,0.4630,430624.70870
2.50312701,0.4993,614060.30990
2.46111978,0.9479,2077874.15977
2.43112090,0.4033,354806.83958
2.50056463,0.0222,118133.34328
2.49719674,0.1748,202885.42332
2.44363503,0.1112,133002.88092
2.47745019,0.5711,710368.16161
2.46274894,0.5362,607300.69311
2.42595503,0.5527,569183.59346
2.49540526,0.2173,234047.58720
2.44783149,0.5201,549928.30874
2.43751878,0.3650,318652.64824
2.43061013,0.2696,224050.64443
2.47105032,0.9957,2443307.09944
2.45716197,0.2858,259949.75635
2.49583769,0.7027,1125453.74389
2.47851656,0.3012,294891.77576
2.48439421,0.6011,797139.10708
2.50654386,0.5017,625517.52810
2.46973350,0.4094,411734.15334
2.46929787,0.1873,192113.72363
2.44650928,0.5731,648463.04679
2.46420012,0.9519,2119864.29714
2.45709492,0.7450,1137526.62199
2.45534390,0.6506,849185.42761
2.42838104,0.5160,509692.58222
2.50252532,0.5428,703215.06562
2.48965950,0.0815,141205.78208
2.44912760,0.3447,309399.03280
2.45422272,0.2879,259197.65302
2.43811256,0.7332,1036820.35705
2.50172884,0.4759,567314.92858
2.48852413,0.6999,1091759.22756
2.46791727,0.0562,118728.68981
2.48635929,0.0440,121511.43680
2.49367433,0.4075,442730.81073
2.43195681,0.9715,2045411.37615
2.49021543,0.7146,1146838.59738
2.47740700,0.2269,227284.95754
2.42649470,0.7499,1052870.36810
2.47233238,0.0524,119000.32117
2.46545891,0.5304,601351.75677
2.44577929,0.7541,1129993.33094
2.45121818,0.2895,257943.36552
2.46456941,0.3794,366327.75037
2.47039432,0.1612,175722.55718
2.46222618,0.3571,337261.65543
2.48161474,0.3638,368100.83171
2.50529412,0.2364,258814.31885
2.45246441,0.2760,247231.35728
2.44265510,0.5902,676163.46906
2.45023467,0.9358,1946685.68858
2.49443936,0.6056,833851.20102
2.47706228,0.6825,1000554.84986
2.49677187,0.5120,626567.03808
2.44861267,0.4271,407103.48528
2.50942993,0.2791,303878.55690
2.47477211,0.0202,106484.72037
2.45880336,0.4831,505618.25391
2.42203615,0.1899,163737.16914
2.45450505,0.4546,454390.41351
2.44128044,0.2925,251828.04134
2.49358290,0.1590,189391.71738
2.46763099,0.8554,1624538.30098
2.49166813,0.7090,1132670.25608
2.50481910,0.0267,122034.95824
2.47525986,0.2604,253471.56938
2.44681577,0.0818,120728.26823
2.47759100,0.8740,1764066.38640
2.48439792,0.7408,1218826.46453
2.47271046,0.2266,223345.99773
2.48243939,0.3523,355185.76949
2.44526974,0.5278,559079.82707
2.47508108,0.4708,512173.67552
2.48559118,0.5914,776360.44922
2.42610481,0.8641,1476536.96480
